name,isMunicipality,architecturalTownPlan,accountancyBusinessAdmin,education,engineeringMathematics,fineAppliedArts,socialScienceHumanities,informationTech,lawJurisprudence,massCommunicationDocu,medicalAllied,naturalScience,serviceTrades,higherEducationOthers,agriForestFishVetMed,homeEconomicsHE,maritime,religionTheology,tradeCraftIndustrial,contactCenterServices,animationVisualGraphic,bookKeeping,compHardwareSysServicing,softwareDevProgramming,medicalTranscriptCodeBill,computerSecretarial,accountancyBusinessManagment,humanitiesSocialSciences,scienceTechEngineerMath,generalAcademic,informationCommunicationTech,industrialArts,artsDesignSports,seniorHSOthers,prebaccalaureateMaritime,agriFishery,homeEconomicsSrHs,tvlMaritime,coes,cods,higherEducationInst,technicalVocationInst,schoolsOfferingSrHsInst,occupiedVacant,unoccupied,workInProgress,telcoInfra,internetBandwidth,powerSupply,powerConsumption,transportationAccess,transpoByAir,transpoBySea,transpoByLand,hotelAvailability,hospitalBeds,recreationalTourist,minimumWageNonAgri,monthlyOfficeSpace,gradeA,gradeB,gradeC,monthlyPowerRates,pezaITParksCenters,disasterPreparedness,averageCrimeEfficiency,openInnovation,numberOfStartups,innovationPolicy,numberOfUnicorns,provinceTag,backgroundColor,isCity,province,graduates,officeRealEstate
Anini-y,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,126,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,323.5,0,0,0,0,0,0,TRUE,60.8,0,0,0,0,antique,#22B573,TRUE,ANTIQUE,195,0
Bugasong,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,9,125,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,0,TRUE,323.5,0,0,0,0,0,0,TRUE,60.8,0,0,0,0,antique,#22B573,TRUE,ANTIQUE,213,0
San Jose (Capital),TRUE,0,178,106,19,0,20,70,0,0,37,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,232,193,403,149,0,0,13,0,0,0,0,0,0,0,2,0,4,0,0,0,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,323.5,0,0,0,0,0,0,TRUE,60.8,0,0,0,0,antique,#22B573,TRUE,ANTIQUE,1456,0
San Remigio,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,149,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,323.5,0,0,0,0,0,0,TRUE,60.8,0,0,0,0,antique,#22B573,TRUE,ANTIQUE,253,0
Sibalom,TRUE,12,459,400,163,0,9,139,0,9,0,0,28,208,0,0,63,0,0,0,0,0,0,0,0,0,35,46,97,71,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,323.5,0,0,0,0,0,0,TRUE,60.8,0,0,0,0,antique,#22B573,TRUE,ANTIQUE,1739,0
Sebaste,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,48,0,44,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,323.5,0,0,0,0,0,0,TRUE,60.8,0,0,0,0,antique,#22B573,TRUE,ANTIQUE,144,0
Tibiao,TRUE,0,128,279,0,0,0,103,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,20,11,30,114,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,323.5,0,0,0,0,0,0,TRUE,60.8,0,0,0,0,antique,#22B573,TRUE,ANTIQUE,718,0
Tobias Fornier (Dao),TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,72,107,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,323.5,0,0,0,0,0,0,TRUE,60.8,0,0,0,0,antique,#22B573,TRUE,ANTIQUE,213,0
Valderrama,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,323.5,0,0,0,0,0,0,TRUE,60.8,0,0,0,0,antique,#22B573,TRUE,ANTIQUE,43,0
Calanasan (Bayag),TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,36,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,TRUE,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,0,TRUE,280,0,0,0,0,0,0,TRUE,69,0,0,0,0,apayao,#F15A24,TRUE,APAYAO,47,0
